# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=139955443
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_full_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-28.3216,0.953263,0.455426,2,7,0,28.5757,-0.498845,-0.577423,1.041,3.78909,3.48637,-10.387
-27.2331,0.998035,0.455426,3,7,0,28.4886,-1.1467,-0.422982,-3.06111,6.90035,-2.53007,1.47276
-26.8165,0.965881,0.455426,2,7,0,28.7181,-0.810897,-0.414527,-5.14473,-0.929168,0.0676719,-0.76801
-26.8945,0.979724,0.455426,1,3,0,27.1698,-0.892309,-0.363291,-1.03125,4.02506,-0.96513,2.3966
-26.9125,0.999413,0.455426,3,7,0,27.0056,-0.649584,-0.361292,0.67284,-2.22119,1.10359,0.983416
-27.7395,0.97682,0.455426,4,15,0,27.7656,-0.532219,-0.217927,0.499646,0.821704,1.56537,8.63085
-27.1725,0.989135,0.455426,2,7,0,28.4972,-0.985455,-0.325387,-2.90744,-7.65292,-2.00341,4.97079
-27.713,0.959076,0.455426,2,7,0,29.1594,-1.20846,-0.593595,0.936202,10.6039,-1.36155,-5.52819
-27.8901,0.998244,0.455426,2,3,0,27.9572,-1.3218,-0.588589,0.0444964,2.33096,-2.19242,-4.14801
-28.2347,0.83911,0.455426,3,11,0,31.8875,-0.216167,-0.332364,5.95291,-9.54392,4.95181,0.964499
-27.8814,0.995384,0.455426,2,3,0,28.4318,-0.296082,-0.323544,-2.77308,-0.290989,4.17703,1.65274
-27.2778,0.994223,0.455426,3,7,0,28.6286,-1.04955,-0.542261,4.34413,-0.447572,-0.733579,-4.84271
-29.5569,0.939097,0.455426,4,15,0,30.5849,-1.65496,-0.74536,0.98567,-8.82587,-2.59176,-6.62638
